Country,Category,Source,URL,Authority,Use,Typical Delay,As-of Rule,Access/Cost,Known Limitations,Fallback,Last Verified
JP,Price/Financial API,J-Quants API,https://jpx-jquants.com/en/,Primary/Official service,"Adjusted/unadjusted OHLC, financials, dividends and schedules",Plan/dataset dependent,"Record plan, endpoint, trade date and adjustment basis",Free and paid plans,"Coverage, history and redistribution depend on plan",JPX pages / licensed vendor,2026-08-07
JP,Listed company info,JPX Company Search,https://www.jpx.co.jp/english/listing/co-search/,Primary,Market segment and listing information,Company dependent,Record search date,Free web,Not a full financial database,Company IR,2026-08-07
JP,Investor flow,JPX Trading by Type,https://www.jpx.co.jp/english/markets/statistics-equities/investor-type/,Primary,Aggregate investor-category flows,Weekly,Record covered week and publication date,Free web,"Aggregate flow, not individual-stock flow",Licensed vendor,2026-08-07
JP,Short positions,JPX Short Selling,https://www.jpx.co.jp/english/markets/public/short-selling/,Primary,Regulatory short-selling disclosures and statistics,Threshold/report dependent,Record position and publication dates,Free web,"Threshold-based, not full real-time market positioning",Licensed vendor,2026-08-07
JP,Margin trading,JPX Margin Trading,https://www.jpx.co.jp/english/markets/statistics-equities/margin/,Primary,Margin trading statistics,Daily/weekly by dataset,Record trade and publication dates,Free web,Credit balances can be lagged and definitions vary,Japan Securities Finance,2026-08-07
JP,Securities finance,Japan Securities Finance,https://www.jsf.co.jp/en/,Primary,Loan and margin-related data,Daily/periodic,Record applicable date,Free web; detailed data may vary,Does not represent all positioning,JPX,2026-08-07
JP,Macro/FX,Bank of Japan,https://www.boj.or.jp/en/,Primary,"Policy, Tankan and financial statistics",Release schedule,Record release time and data period,Free web,Interpretation and revisions require care,MOF Japan,2026-08-07
JP,Fiscal/FX flows,MOF Japan,https://www.mof.go.jp/english/,Primary,"International transactions, intervention and fiscal data",Release schedule,Record period and release date,Free web,Intervention confirmation can lag market speculation,BOJ,2026-08-07
JP,Regulation,FSA Japan,https://www.fsa.go.jp/en/,Primary,"Regulation, stewardship and disclosure reforms",Event driven,"Record effective date, not only announcement date",Free web,English translations may lag Japanese originals,JPX,2026-08-07
GLOBAL,Company information,Company IR,Company-specific,Primary,"Earnings decks, calls, guidance and KPIs",Event driven,Record publication/call time and fiscal period,Free web,Management framing is not independent verification,Regulatory filing,2026-08-07
GLOBAL,Price data,Licensed market-data vendor or broker,Provider-specific,Primary/Secondary by license,Real-time or historical prices and corporate actions,Provider dependent,"Record provider, session, adjustment and timezone",Often paid or account based,"Adjustment methods, survivorship and redistribution vary",Official exchange data,2026-08-07
GLOBAL,Consensus,Licensed market-data vendor or broker consensus,Provider-specific,Secondary,"FY1/FY2 estimates, revisions and analyst count",Timestamp dependent,"Record provider, as-of, analyst count and fiscal basis",Often paid,Providers differ; do not combine without reconciliation,Multiple reputable portals,2026-08-07
GLOBAL,News,Major financial news,Publisher-specific,Secondary,Context and event discovery,Real-time,Record event time and original source,Free/paid,Verify claims and numbers with primary source,Primary source,2026-08-07
GLOBAL,Cloud web fallback,Verified financial web search,Provider-specific,Secondary,"Latest price context, news discovery, consensus and cross-check when official pages are insufficient",Near real-time to delayed by provider,Record timestamp/date and distinguish current quote from completed close,ChatGPT web / public web,Provider definitions and delays vary; verify material facts with primary sources,Primary filing/exchange/company IR,2026-08-21
